sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	fulfillment-channel	handling-time
27514SG	71	35,5	142	47		
28008SG	55,6	27,8	111,2	0		
28682SG	59,5	29,75	119	0		
28679SG	72,5	36,25	145	19		
28680SG	104,1	52,05	208,2	0		
28683SG	156,4	78,2	312,8	0		
28684SG	106,3	53,15	212,6	0		
28752SG	35,6	17,8	71,2	0		
28753SG	44,8	22,4	89,6	0		
28695SG	117	58,5	234	0		
28715SG	67,5	33,75	135	0		
28760SG	43,3	21,65	86,6	0		
28759SG	49,5	24,75	99	0		
28699SG	61,8	30,9	123,6	0		
28726SG	14,4	7,2	28,8	0		
28728SG	39	19,5	78	47		
28716SG	13,5	6,75	27	0		
28718SG	43	21,5	86	0		
28719SG	53,1	26,55	106,2	0		
28709SG	82,3	41,15	164,6	0		
28710SG	159,4	79,7	318,8	0		
28743SG	25,2	12,6	50,4	0		
28744SG	43	21,5	86	0		
28730SG	61,4	30,7	122,8	0		
28762SG	52,5	26,25	105	0		
28754SG	39,6	19,8	79,2	0		
28755SG	46,4	23,2	92,8	0		
28756SG	29,5	14,75	59	0		
28758SG	38,7	19,35	77,4	0		
28604SG	94	47	188	0		
28724SG	38,7	19,35	77,4	0		
28763SG	35,6	17,8	71,2	0		
28725SG	44,8	22,4	89,6	0		
28764SG	44,8	22,4	89,6	0		
28785SG	42,6	21,3	85,2	0		
28786SGR	63,3	31,65	126,6	0		
28693SG	131,9	65,95	263,8	4		
28803SG	67,8	33,9	135,6	0		
28804SG	62,4	31,2	124,8	0		
28800SG	78,7	39,35	157,4	0		
28802SG	81,4	40,7	162,8	13		
28750SG	44,2	22,1	88,4	0		
28751SG	55,7	27,85	111,4	26		
