ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0CMMZ91RV,B09X84RJR4,"ROCKING GIFTS Figura Decorativa Busto Griego Romano Escultura Clásica Antigua de Resina con Efecto Piedra - Estatua de Dioses de la Mitología para Decoración del Hogar, Salón o Dormitorio - 28 cm",300743CLMFBA,584,21,0.30%,0.46%,807,27,0.30%,0.43%,98.59%,95.24%,12,4,2.05%,19.05%,"636,30 €","203,41 €",12,4
B0CX9MJ5X3,B0CPJS6DLF,"ROCKING GIFTS Juego de baño con diseño de Hojas, Dispensador de Jabón y Vaso de Cerámica, Estilo Elegante y Minimalista",22212969CLMFBA,"1,120",9,0.58%,0.20%,"1,475",13,0.55%,0.21%,99.85%,100.00%,12,1,1.07%,11.11%,"239,48 €","19,59 €",12,1
B0CX9MJ5X3,B0CPJTDP5X,"ROCKING GIFTS Juego de Baño de Cerámica con Dispensador de Jabón y Vaso, Set de Baño con Diseño de Rayas en Colores Neutros, Accesorios Elegantes para Lavabo, 17x7 cm",22212954CLMFBA,"1,032",23,0.54%,0.50%,"1,398",35,0.53%,0.56%,99.84%,100.00%,13,2,1.26%,8.70%,"259,07 €","39,18 €",12,1
B0D47SC7KP,B0D47SC7KP,"Bolsa de Papel Grande para Embalaje Fácil de Regalos de Comunión Niña, Blanco y Rosa, 26 x 10 x 32cm",2185646CLM,518,15,0.27%,0.33%,657,23,0.25%,0.37%,99.50%,100.00%,31,0,5.98%,0.00%,"230,60 €","0,00 €",12,0
B0DNY5X9Z3,B0DLBVZN19,ROCKING GIFTS Quesera Redonda de Madera con Tapa 28x28 cm,2676123CLMFBA,367,24,0.19%,0.52%,556,31,0.21%,0.49%,99.60%,100.00%,15,0,4.09%,0.00%,"449,85 €","0,00 €",12,0
B06XWQRYDY,B06XWQRYDY,"SIGNES GRIMALT Figura Hormiga, Metal, 13 cm, Adorno Pared para Colgar, Decoración del Hogar y Jardín",11135SGFBA,265,8,0.14%,0.17%,355,10,0.13%,0.16%,98.40%,100.00%,13,1,4.91%,12.50%,"196,63 €","12,43 €",11,1
B07XSMQFBG,B07XSMQFBG,"Caja de madera con tapa tallada, 22 cm, color: Blanco",291440CLM,963,22,0.50%,0.48%,"1,425",24,0.54%,0.38%,99.42%,100.00%,12,1,1.25%,4.55%,"309,27 €","26,12 €",11,1
B0859MYBB8,B0859MYBB8,Home Gadgets Piñata Celebracion Fiestas Novio 45 cm,290911CLMFBA,152,4,0.08%,0.09%,238,6,0.09%,0.10%,100.00%,100.00%,11,0,7.24%,0.00%,"250,25 €","0,00 €",11,0
B0FXVN28W1,B09X21YQH3,"Colgante de Cianita Negra - Piedra Natural para Protección, Energía y Equilibrio - Collar para Meditación, Yoga y Espiritualidad - Amuleto para Limpieza del Aura y Conexión con la Tierra",7986VCFBA,144,0,0.08%,0.00%,235,0,0.09%,0.00%,98.58%,0.00%,12,0,8.33%,0.00%,"143,88 €","0,00 €",11,0
B0FPGHSBDV,B0BW9P8H7T,ROCKING GIFTS Guarda ABANICOS 16 Unidades Rojo 27X27X15CM,41963MDFBA,519,18,0.27%,0.39%,813,26,0.31%,0.41%,98.28%,100.00%,11,1,2.12%,5.56%,"987,65 €","88,15 €",11,1
B0CK91KWFP,B0CC43CSWB,ROCKING GIFTS Adorno Pared Lagarto Mosaico Metal 39x19 cm | Decoración Jardín Terraza Exterior | Figura Escultura Gecko Reptil | Arte Manualidades Diseño,30200SGRG,"1,856",41,0.97%,0.89%,"2,791",53,1.05%,0.85%,99.39%,100.00%,11,0,0.59%,0.00%,"229,90 €","0,00 €",11,0
B0GN3R3136,B0DFZPTV2W,"Péndulo Isis 9 Baterías con Testigo para Radiestesia y Feng Shui, Ideal para Energía Positiva, Meditación y Sanación Holística, Herramienta de Diagnóstico Espiritual y Armonización Energética",4371VCFBA,186,4,0.10%,0.09%,273,5,0.10%,0.08%,100.00%,100.00%,11,1,5.91%,25.00%,"172,94 €","12,92 €",11,1
