sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	Minimum order quantity	Sell remainder
11076VC	B0CLBCXJZJ	26.80	998	26.26	fixed	6	22.78	12	20.10	18	19.57	50	18.76											
11077VC	B0CLBF7DZ7	15.00	1728	14.7	fixed	6	12.75	12	11.25	18	10.95	50	10.50											
11078VC	B0CL39LTYR	17.40	2068	17.05	fixed	6	14.79	12	13.05	18	12.71	50	12.18											
11079VC	B0CL3C46RX	26.80	922	26.26	fixed	6	22.78	12	20.10	18	19.57	50	18.76											
11081VC	B0CLBBVZ4N	14.05	7981	13.77	fixed	6	11.95	12	10.54	18	10.26	50	9.84											
11082VC	B0CLBBTBPG	26.00	6957	25.48	fixed	6	22.10	12	19.50	18	18.98	50	18.20											
11083VC	B0CLBF3Y65	21.25	7838	20.83	fixed	6	18.07	12	15.94	18	15.52	50	14.88											
11084VC	B0CLBS43QH	23.00	4367	22.54	fixed	6	19.55	12	17.25	18	16.79	50	16.10											
11135SG	B06XWQRYDY	28.20	181	27.64	fixed	6	23.97	12	21.15	18	20.59	50	19.74											
11135SGFBA	B06XWQRYDY	16.35		16.02	fixed	6	13.90	12	12.27	18	11.94	50	11.45											
11156VC	B0CL3CC31Y	35.40	2428	34.69	fixed	6	30.09	12	26.55	18	25.85	50	24.78											
11159VC	B0CLBFLK2W	18.50	4320	18.13	fixed	6	15.73	12	13.88	18	13.51	50	12.95											
1117VCO	B076MP9W7G	23.00	11515	22.54	fixed	6	19.55	12	17.25	18	16.79	50	16.10											
1122VC0	B076N6WPJ4	17.25	449	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
1123VC	B00KAIZ9U8	17.25	178	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
11269VC	B0CLBDPT25	14.30	287	14.01	fixed	6	12.16	12	10.73	18	10.44	50	10.01											
11283VCI	B0DFZT5BFH	22.90	12	22.44	fixed	6	19.47	12	17.18	18	16.72	50	16.03											
11290VCI	B0DG114KMH	24.99	12	24.49	fixed	6	21.25	12	18.75	18	18.25	50	17.50											
11291VCI	B0DFZVGK6B	26.80	22	26.26	fixed	6	22.78	12	20.10	18	19.57	50	18.76											
11293VCI	B0DFZSJRFC	22.90	14	22.44	fixed	6	19.47	12	17.18	18	16.72	50	16.03											
11297VCI	B0DFZW1SHZ	22.90	12	22.44	fixed	6	19.47	12	17.18	18	16.72	50	16.03											
11309VC	B0CL3BPLGC	27.00	266	26.46	fixed	6	22.95	12	20.25	18	19.71	50	18.90											
1131VC	B00KAIXGN0	19.30	796	18.91	fixed	6	16.41	12	14.48	18	14.09	50	13.51											
11326VCT	B0CV4DM27G	19.90	32	19.5	fixed	6	16.92	12	14.93	18	14.53	50	13.93											
11327VC	B0CL3BRL51	58.00	74074	56.84	fixed	6	49.30	12	43.50	18	42.34	50	40.60											
11328VC	B0CL3BT56Z	58.00	75650	56.84	fixed	6	49.30	12	43.50	18	42.34	50	40.60											
11329VC	B0CL3BMQBH	31.40	29023	30.77	fixed	6	26.69	12	23.55	18	22.93	50	21.98											
1132VCI	B0GM1DXXM4	23.10	598	22.64	fixed	6	19.64	12	17.33	18	16.87	50	16.17											
11332VC	B0CL3BLSZ2	45.50	3030	44.59	fixed	6	38.68	12	34.13	18	33.22	50	31.85											
11334VCT	B0CV4CGRDH	195.50	35629	191.59	fixed	6	166.18	12	146.63	18	142.72	50	136.85											
1133VCI	B0GLZSZ8BZ	16.60	774	16.27	fixed	6	14.11	12	12.45	18	12.12	50	11.62											
11349VC	B0CL3BPMT3	20.50	163908	20.09	fixed	6	17.43	12	15.38	18	14.97	50	14.35											
1136VC0	B076N55WCD	15.95	1026	15.63	fixed	6	13.56	12	11.97	18	11.65	50	11.17											
11381SG	B079DZQVDM	52.30	32	51.25	fixed	6	44.46	12	39.23	18	38.18	50	36.61											
1139VCO	B07796TTTZ	25.50	99	24.99	fixed	6	21.68	12	19.13	18	18.62	50	17.85											
11470SG	B075X18283	48.00	232	47.04	fixed	6	40.80	12	36.00	18	35.04	50	33.60											
11500VC	B0CL3BW1FG	29.30	961	28.71	fixed	6	24.91	12	21.98	18	21.39	50	20.51											
11503VC	B0CLBS6CKR	80.50	27	78.89	fixed	6	68.43	12	60.38	18	58.77	50	56.35											
1151RGSG	B0BVMRDMGZ	24.10	40	23.62	fixed	6	20.49	12	18.08	18	17.60	50	16.87											
11558VC	B0CL3BGX2C	15.75	244	15.44	fixed	6	13.39	12	11.82	18	11.50	50	11.03											
11575VC	B0CL39VZLR	15.50	1660	15.19	fixed	6	13.18	12	11.63	18	11.32	50	10.85											
11581VC	B0CL3BXDVR	17.25	62	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
11583VC	B0CL39RBRQ	17.25	40	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
11585VC	B0CLBLN5QJ	17.25	93	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
11588VCT	B0CV4DQL5R	31.80	292	31.16	fixed	6	27.03	12	23.85	18	23.22	50	22.26											
11595VC	B0CL39WX4V	17.25	1253	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
